getSalt Request,,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
s_email,email,string,[50],,M ,The username - normally an email address - used for authentication,
getSalt Response,,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
errorcode,errorcode,Integer,,,,An integer errorcode. If 0 then there was no error else an error occurred,
errormessage,errormessage,String,[500],,,The error message if errorcode is a non-zero value,
results,results,Array,[..],,,An array of results which will always have a single element if non-null,
getSalt Response[results],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
salt,salt,string,[32],MD5,,The salt to be combined with password to create an md5 hash,
