getSingleWaybill Request,,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
s_waybillno,waybillno,string,[24],,M,waybill number,
getSingleWaybill Response,,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
errorcode,errorcode,Integer,,,,An integer errorcode. If 0 then there was no error else an error occurred,
errormessage,errormessage,String,[500],,,The error message if errorcode is a non-zero value,
results,results,Array,[..],,,An array of results which will always have a single element if non-null,
getSingleWaybill Response[results],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
details,details,array,[..],,,waybill details,
contents,contents,array,[..],,,contents array of waybill,
tracks,tracks,array,[..],,,tracking numbers for waybill,
wayref,wayref,array,[..],,,references for waybill,
getSingleWaybill Results[details],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
waybill,waybill,string,[24],,,waybill number,
collect,collect,integer,,,,collection number,
pieces,pieces,integer,,,,total number of pieces,
service,service,string,[3],,,transport service,
waydate,waydate,string,[10],,,waybill date,
quotedate,quotedate,string,[10],,,date waybill was quoted,
accnum,accnum,string,[6],,,customer account number,
custname,custname,string,[35],,,customer name,
origpers,origpers,string,[35],,,sender name or consignor,
origplace,origplace,integer,,,,internal number for town,
origtown,origtown,string,[50],,,originating town / place name,
origpercontact,origpercontact,string,[30],,,senders contact name,
origperadd1,origperadd1,string,[30],,,senders address line 1,
origperadd2,origperadd2,string,[30],,,senders address line 2,
origperadd3,origperadd3,string,[30],,,senders address line 3,
origperadd4,origperadd4,string,[30],,,senders address line 4,
origperphone,origperphone,string,[30],,,senders phone 1,
origperphone2,origperphone2,string,[20],,,senders phone 2,
origpercell,origpercell,string,[20],,,senders mobile number,
origperpcode,origperpcode,string,[8],,,senders postal code,
destpers,destpers,string,[35],,,receiver name or consignee,
destplace,destplace,integer,,,,internal number for town,
desttown,desttown,string,[50],,,destination town / place name,
destpercontact,destpercontact,string,[30],,,destination contact name,
destperadd1,destperadd1,string,[30],,,receiver address line 1,
destperadd2,destperadd2,string,[30],,,receiver address line 2,
destperadd3,destperadd3,string,[30],,,receiver address line 3,
destperadd4,destperadd4,string,[30],,,receiver address line 4,
destperphone,destperphone,string,[20],,,receiver phone 1,
destperphone2,destperphone2,string,[20],,,receiver phone 2,
destpercell,destpercell,string,[20],,,receivers mobile number,
destperpcode,destperpcode,string,[8],,,destination postal code,
duedate,duedate,string,[10],,,waybill due date,
destlatitude,destlatitude,float,,,,latitude co-ordinates,
destlongitude,destlongitude,float,,,,longitude co-ordinates,
duedate,duedate,string,[10],,,waybill due date,
reference,reference,string,[15],,,waybill reference number,
specinstruction,specinstruction,string,[60],,,special instruction,
surchargeflag1,surchargeflag1,integer,,,,surcharge flag 1,
surchargeflag2,surchargeflag2,integer,,,,surcharge flag 2,
surchargeflag3,surchargeflag3,integer,,,,surcharge flag 3,
surchargeflag4,surchargeflag4,integer,,,,surcharge flag 4,
surchargeflag5,surchargeflag5,integer,,,,surcharge flag 5,
surchargeflag6,surchargeflag6,integer,,,,surcharge flag 6,
surchargeflag7,surchargeflag7,integer,,,,surcharge flag 7,
surchargeflag8,surchargeflag8,integer,,,,surcharge flag 8,
surchargeflag9,surchargeflag9,integer,,,,surcharge flag 9,
invoice,invoice,integer,,,,invoice number,
quote,quote,string,[24],,,quote number,
insuranceflag,insuranceflag,integer,,,,insurance flag,
declaredvalue,declaredvalue,float,,,,value of the freight for insurance,
nondoxflag,nondoxflag,integer,,,,not documents flag,
customsvalue,customsvalue,float,,,,value of freight for customs,
currency,currency,float,,,,transport cost currency,
destperemail,destperemail,string,[50],,,receiver email address,
origperemail,origperemail,string,[50],,,sender email address,
actkg,actkg,float,,,,total mass of contents in kg,
volcm,volcm,integer,,,,total volumetric cm,
volrate,volrate,integer,,,,volumetric divider,
chargemass,chargemass,float,,,,mass greater of vol mass and act kg,
insurance,insurance,float,,,,insurance charge,
cartage,cartage,float,,,,base transport charge,
outly,outly,float,,,,outlying charge,
docs,docs,float,,,,document charge,
handling,handling,float,,,,handling charge,
cursurcharge,cursurcharge,float,,,,currency surcharge,
totsurcharge,totsurcharge,float,,,,sum of all surcharges,
subtotal,subtotal,float,,,,subtotal charge,
vat,vat,float,,,,vat charge,
total,total,float,,,,total charge,
customsduties,customsduties,float,,,,customs duties charge,
customsvat,customsvat,float,,,,customs vat charge,
manifest,manifest,integer,,,,last manifest number,
failtype,failtype,string,[30],,,delivery failure reason,
getSingleWaybill Results[contents],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
defitem,defitem,integer,,,,>0 default contents item used,
item,item,integer,,,,numeric increment for number of contents lines,
pieces,pieces,integer,,,,total pieces on contents line,
description,description,string,[30],,,description of contents line,
dim1,dim1,float,,,,dimension 1 in cm,
dim2,dim2,float,,,,dimension 2 in cm,
dim3,dim3,float,,,,dimension 3 in cm,
actmass,actmass,float,,,,mass of contents line,
getSingleWaybill Results[tracks],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
trackno,trackno,string,[28],,,tracking number of parcel,
parcelno,parcelno,integer,,,,incremental count,
item,item,integer,,,,>0 links to item on contents,
getSingleWaybill Results[wayref],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
reference,reference,string,[15],,,reference number,
pageno,pageno,integer,,,,page number for multiple pages of same reference number,
