quoteToWaybill Request,,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
quoteno,quoteno,string,[24],,M,quote number previously generated by requestQuote,
waybillno,waybillno,string,[24],,,waybill number,
specins,specins,string,[60],,,special instructions,
printWaybill,printWaybill,integer,,,,1 = return base64 encoded waybill pdf,
printLabels,printLabels,integer,,,,1 = return base64 encoded labels pdf,
quoteToWaybill Response,,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
errorcode,errorcode,Integer,,,,An integer errorcode. If 0 then there was no error else an error occurred,
errormessage,errormessage,String,[500],,,The error message if errorcode is a non-zero value,
results,results,Array,[..],,,An array of results which will always have a single element if non-null,
quoteToWaybill Response[results],,,,,,,
SOAP,JSON,Type,Length,Format,Mandatory,Description,Notes
waybillno,waybillno,string,,,,waybill number generated,
gentracking_retval,gentracking_retval,integer,,,,1 = tracking numbers generated,
recalcwb_retval,recalcwb_retval,integer,,,,1 = waybill has been recalculated,
waybillBase64,waybillBase64,base64,,,,base64 encoded string for waybill pdf,
labelsBase64,labelsBase64,base64,,,,base64 encoded string for labels pdf,
